index,title,link,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage,price
48,"1-bedroom flat new, ground floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1659151/,Apartment,Rent,Ground floor,Yes,41 m²,1,1,1,0,Yes,1 in shared parking,"€ 1,870/month"
49,"2-room flat 100, rue de cessange, Cessange, Luxembourg",https://www.immotop.lu/en/annonces/1664383/,Apartment,Rent,2,Yes,90 m²,2,2,1,0,0,0,"€ 2,100/month"
50,"3-room flat 28, rue A-F Van der Meulen, Dommeldange, Luxembourg",https://www.immotop.lu/en/annonces/1693793/,Apartment,Rent,Ground floor,Yes,112 m²,3,3,2,0,Yes,0,"€ 3,300/month"
51,"3-room flat ground floor, Mondorf-les-Bains Localité, Mondorf-les-Bains",https://www.immotop.lu/en/annonces/1699149/,Apartment,Rent,Ground floor,No,135 m²,3,3,1,0,Yes,1 in garage/box,"€ 2,300/month"
52,"Duplex for rent, Stadtbredimus Localité, Stadtbredimus",https://www.immotop.lu/en/annonces/1531105/,Duplex,Rent,2,No,116 m²,2,2,1,0,Yes,0,"€ 2,650/month
€ 2,800(-5.4%)"
53,"3-room flat third floor, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1677747/,Apartment,Rent,3,No,100 m²,3,3,1,0,No,0,"€ 2,300/month"
54,"Penthouse 70 m² with balcony, Heinerscheid, Fossenhof, Lausdorn, Clervaux",https://www.immotop.lu/en/annonces/1684417/,Penthouse,Rent,2,Yes,70 m²,1,1,1,0,No,0,"€ 1,400/month"
55,"Duplex for rent, Strassen",https://www.immotop.lu/en/annonces/1695495/,Duplex,Rent,Ground floor,No,74 m²,2,2,1,0,Yes,0,"€ 2,400/month"
56,"2-room flat excellent condition, first floor, Itzig, Hesperange",https://www.immotop.lu/en/annonces/1698221/,Apartment,Rent,1,No,82 m²,2,2,1,0,0,0,"€ 1,750/month"
57,"1-bedroom flat new, second floor, Bridel, Kopstal",https://www.immotop.lu/en/annonces/1651401/,Apartment,Rent,2,Yes,62 m²,1,1,1,0,Yes,0,"€ 2,000/month"
58,"1-bedroom flat excellent condition, first floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1663215/,Apartment,Rent,1,Yes,45 m²,1,1,1,Yes,No,0,"€ 1,900/month"
59,"1-bedroom flat second floor, Belvaux, Sanem",https://www.immotop.lu/en/annonces/1685917/,Apartment,Rent,2,Yes,71 m²,1,1,1,0,No,0,"€ 1,650/month"
60,"1-bedroom flat Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1665337/,Apartment,Rent,Ground floor,Yes,53 m²,1,1,1,0,Yes,0,"€ 2,600/month"
61,"2-room flat Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1665335/,Apartment,Rent,1,Yes,79 m²,2,2,1,0,0,0,"€ 3,500/month"
62,"1-bedroom flat Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1665339/,Apartment,Rent,Ground floor,Yes,54 m²,1,1,1,0,Yes,0,"€ 2,600/month"
63,"2-room flat Rue des Muguets, Neudorf-Weimershof, Luxembourg",https://www.immotop.lu/en/annonces/1665333/,Apartment,Rent,1,Yes,79 m²,2,2,1,0,0,0,"€ 3,500/month"
64,"1-bedroom flat Boulevard J.F. Kennedy, Al-Esch, Esch-sur-Alzette",https://www.immotop.lu/en/annonces/1698645/,Apartment,Rent,2,Yes,40 m²,1,1,1,Yes,0,0,"€ 1,600/month"
